,name,"(0, 'place_id')",place_id
0,Дарница фармацевтическая фирма ЗАО,1,ChIJwfdBT4lOtUYRlvmtgXtPoYc
1,Галичфарм АО,1,
2,"АО ""Галичфарм""",1,
3,Московская фармацевтическая фабрика ОАО,1,ChIJafQvE983tUYRPbvjlUgEH3o
4,Опытный завод АН Республики Башкортостан,1,
5,ГНИИ особо чистых биопрепаратов,1,
6,Рузам-М ООО,1,ChIJ7fU_PlizSkERe58hTrE18iE
7,Петровакс Лаб ООО,1,ChIJw6CGOPCxSkERZdlGuKq0HOk
8,Востоквит ОАО,1,
9,Усолье-Сибирский химфармкомбинат ОАО,1,
10,Пятигорская фармацевтическая фабрика ФГУП,1,
11,"Государственный завод медицинских препаратов ГУП, дочернее предприятие ГУП ""ГосНИИОХТ""",1,ChIJOdOju2_MSkEREW58BUhDs2k
12,Асфарма ОАО,1,ChIJJ6kwNYxJtUYRzA_kvmsKLi0
13,,1,ChIJdeiwjKJMtUYRsg6dxI_VYk4
14,Синтез ОАО,1,ChIJWzVIbI85tUYRlTbKa0ve3tE
15,Органика ОАО,1,ChIJoUk_NHW0SkERMgy3DMTrbDM
16,Северная звезда Лтд ЗАО,1,ChIJ1zmbgUmtSkER_hO3YJ3iw_I
17,Аромасинтез ОАО,1,
18,Фармстандарт-Уфимский витаминный завод ОАО,1,ChIJgTkLbY85tUYRjy6a50nTqAQ
19,Ивановская фармацевтическая фабрика ОАО,1,
20,Тульская фармфабрика ГУП,1,
21,Екатеринбургская фармфабрика ОАО,1,ChIJ-8ek18xJtUYR3JOmVnhoXCE
22,Биосинтез ОАО,1,ChIJ6xIHYka1SkERc-eFU7L6eQE
23,Кристалл ГосНИИ ФГУП,1,ChIJRWq5JUFItUYRUX71YIpUVm4
24,Мир-Фарм ЗАО,1,ChIJNaQzZUtStUYRKqSMbnCkSZg
25,Катрен НПК ЗАО,1,ChIJmSbw8aY_tUYRMwI1ASuUhxY
26,Ирбитский ХФЗ ОАО,1,
27,Обновление ПФК ЗАО,1,ChIJYTwhVBNMtUYRXUge9SXJ8vo
28,Тульская фармацевтическая фабрика ООО,1,
