place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJwfdBT4lOtUYRlvmtgXtPoYc;Дарница фармацевтическая фирма ЗАО;Пентоксифиллин-Дарница
;Галичфарм АО;Строфантин К
;"АО ""Галичфарм""";Строфантин® К
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО;Зверобоя настойка гомеопатическая (Гиперикум 1Д)
;Опытный завод АН Республики Башкортостан;Кальция гопантенат
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО;Бенсокрил
;ГНИИ особо чистых биопрепаратов;Рэпоэтин-СП
ChIJ7fU_PlizSkERe58hTrE18iE;Рузам-М ООО;Рузам концентрат
ChIJw6CGOPCxSkERZdlGuKq0HOk;Петровакс Лаб ООО;Полиоксидоний-композиция для лекарственных форм и вакцин
;Востоквит ОАО;Кальция хлорид кристаллический
;Усолье-Сибирский химфармкомбинат ОАО;Ацетилсалициловая кислота (Аспирин)
;Пятигорская фармацевтическая фабрика ФГУП;Салициловая кислота
ChIJOdOju2_MSkEREW58BUhDs2k;"Государственный завод медицинских препаратов ГУП, дочернее предприятие ГУП ""ГосНИИОХТ""";Кокаина гидрохлорид
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Кофеин
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Кофеина-бензоат натрия
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Ксероформ
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;Анальгин
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Левомицетин
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;Северная звезда Лтд ЗАО;Анестезин
;Усолье-Сибирский химфармкомбинат ОАО;Метазид
;Аромасинтез ОАО;Метилсалицилат
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Уфимский витаминный завод ОАО;Метионин
;Ивановская фармацевтическая фабрика ОАО;Магния сульфат
;Тульская фармфабрика ГУП;Магния сульфат
;Усолье-Сибирский химфармкомбинат ОАО;Натрия бензоат
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Екатеринбургская фармфабрика ОАО;Натрия бромид
ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез ОАО;Натрия нуклеинат
;Усолье-Сибирский химфармкомбинат ОАО;Натрия салицилат
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Екатеринбургская фармфабрика ОАО;Натрия тиосульфат
ChIJRWq5JUFItUYRUX71YIpUVm4;Кристалл ГосНИИ ФГУП;Никодин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Новокаин
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ЗАО;Норсульфазол
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Норсульфазол растворимый
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Новокаина основание
ChIJmSbw8aY_tUYRMwI1ASuUhxY;Катрен НПК ЗАО;Папаверина гидрохлорид
;Ирбитский ХФЗ ОАО;Парацетамол (Ацетофен)
;Усолье-Сибирский химфармкомбинат ОАО;Пиперазина адипинат
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Прозерин
;Усолье-Сибирский химфармкомбинат ОАО;Пентамин
ChIJYTwhVBNMtUYRXUge9SXJ8vo;Обновление ПФК ЗАО;Аммиака раствор
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Салициламид
;Усолье-Сибирский химфармкомбинат ОАО;Сахарин
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Екатеринбургская фармфабрика ОАО;Сера осажденная
;Усолье-Сибирский химфармкомбинат ОАО;Спазмолитин
;Тульская фармацевтическая фабрика ООО;Стрептоцид белый
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО;Стрептоцид белый
;Усолье-Сибирский химфармкомбинат ОАО;Стрептоцид белый растворимый
;Усолье-Сибирский химфармкомбинат ОАО;Сульгин
;Ирбитский ХФЗ ОАО;Сульфадимезин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Синтомицин
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Синэстрол
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Теобромин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Теофиллин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Тримекаин
;Усолье-Сибирский химфармкомбинат ОАО;Барбитал (Веронал)
;Усолье-Сибирский химфармкомбинат ОАО;Барбитал-натрий (Мединал)
ChIJjwl8pXZKtUYRPCUcXjNKtXk;Петрохим ЗАО;Унитиол
;Усолье-Сибирский химфармкомбинат ОАО;Фенилсалицилат (Салол)
;Усолье-Сибирский химфармкомбинат ОАО;Фенобарбитал (Люминал)
;Усолье-Сибирский химфармкомбинат ОАО;Фталазол
;Усолье-Сибирский химфармкомбинат ОАО;Фтивазид
;Ирбитский ХФЗ ОАО;Фурадонин
;Ирбитский ХФЗ ОАО;Фурацилин
ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез ОАО;Феноксиметилпенициллин
;Усолье-Сибирский химфармкомбинат ОАО;Хинозол
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Эуфиллин
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Эргометрина малеат
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ЗАО;Бутадион
ChIJd6COwHJNtUYRuWgi5sNziCk;Казанская фармацевтическая фабрика ЗАО;Винилин (Шостаковского бальзам)
ChIJaf1kOxBNtUYRQuW1cp98ydw;Новосибхимфарм ОАО;Гексаметилентетрамин (Уротропин)
ChIJAYNGsG5MtUYRppeZmBjxeA4;Полисинтез ООО;Дибазол
ChIJmSbw8aY_tUYRMwI1ASuUhxY;Катрен НПК ЗАО;Димедрол
ChIJ-9R0KTpKtUYR0r_MbfEmUNg;НИОПиК ГНЦ ФГУП;Дитилин
;Усолье-Сибирский химфармзавод ОАО;Дифенин
;Усолье-Сибирский химфармкомбинат ОАО;Изониазид (Тубазид)
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Екатеринбургская фармфабрика ОАО;Калия йодид
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Калия перманганат
ChIJafQvE983tUYRPbvjlUgEH3o;Фармацевтическая фабрика ОАО [Копейск];Калия перманганат
;Ирбитский ХФЗ ОАО;Сульфапиридазин натрий
;Пермфармация ГОУП;Серная мазь простая
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ЗАО;Серная мазь простая
;Фармпроизводство - филиал ОГУП Фармация [Курск];Серная мазь простая
ChIJs_fJ4iNNtUYRfv9VB1kuXI8;Фитофарм-НН НЗЛП ФГУП;Серная мазь простая
;Ивановская фармфабрика ОГУП;Касторовое масло
;ЗАО Ярославская фармацевтическая фабрика;Касторовое масло
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;ОАО Тверская фармацевтическая фабрика;Касторовое масло
ChIJ-yDxtkVKtUYR6StRAzK969o;Технолог СКТБ ФГУП Минобразования России;Метацин
;Востоквит ОАО;Натрия гидрокарбонат
;Фито-Бот фирма ООО;Боярышника настойка
;Флора Кавказа ОАО;Боярышника настойка
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Женьшеня настойка
;Флора Кавказа ОАО;Женьшеня настойка
;Флора Кавказа ОАО;Календулы настойка
;Фито-Бот фирма ООО;Календулы настойка
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ЗАО;Красавки настойка
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Эвкалипта настойка
;Ирбитский ХФЗ ОАО;Пантоцид
;Тульская фармацевтическая фабрика ООО;Цинковая паста
;Тульская фармацевтическая фабрика ООО;Салицилово-цинковая паста
;ЗАО Ярославская фармацевтическая фабрика;Салицилово-цинковая паста
;Тульская фармацевтическая фабрика ООО;Пертуссин
;Ивановская фармфабрика ОГУП;Пертуссин
;Фито-Бот фирма ООО;Пертуссин
;ЗАО Ярославская фармацевтическая фабрика;Бороментол
;ЗАО Ярославская фармацевтическая фабрика;Борная мазь 5%
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО;Мятные таблетки
ChIJN5t4CjesSkERQ1DK79U7f40;Вифитех ЗАО;Фламин
;"Общество с ограниченной ответственностью ""ГЕНЕСС""";Холосас
ChIJfc2KK7qtSkERmQNGKtfCpNU;Фармцентр ВИЛАР ЗАО;Целанид
;Усолье-Сибирский химфармзавод ОАО;Циклодол
ChIJ-Z0KlhBKtUYRarrGx1rq6v4;Хармс ООО;Валерианы экстракт густой
;Тюменский ХФЗ ОАО;Перца водяного экстракт жидкий
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Левзеи экстракт жидкий
ChIJ-Z0KlhBKtUYRarrGx1rq6v4;Хармс ООО;Солодкового корня экстракт густой
;Тверская фармфабрика ОАО;Чабреца экстракт жидкий
;Ивановская фармацевтическая фабрика ОАО;Грудной эликсир
;Тульская фармацевтическая фабрика ООО;Кордиамин
;Тульская фармацевтическая фабрика ООО;Борная кислота
ChIJh5D3XkHJSkERlTDYYs0NaxE;Медхимпром-ПХФК ОАО;Коллодий
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Сульфадиметоксин
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Фенасал
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ЗАО;Фурагин
;Ирбитский ХФЗ ОАО;Фтазин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Калия оротат
;Усолье-Сибирский химфармзавод ОАО;Оксациллина натриевая соль
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Эрготамина тартрат
ChIJLZPV7481tUYRFtuX8aibG6w;Мелиген фармацевтическое предприятие ЗАО;Ретинола пальмитат
;Усолье-Сибирский химфармкомбинат ОАО;Ампициллина тригидрат
;Ирбитский ХФЗ ОАО;Калия оротата таблетки 0.5 г
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Ламинарии слоевища (Морская капуста)
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Уфимский витаминный завод ОАО;Кокарбоксилазы гидрохлорид
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Бефунгин
ChIJ6VPxt6NLtUYR3XgwKqK4w34;Алтайвитамины ЗАО;альфа-Токоферола ацетата раствор в масле 50% (Витамин Е)
;Усолье-Сибирский химфармзавод ОАО;Сульфадиметоксина таблетки
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Эвкалипта прутовидного листья
ChIJ6VPxt6NLtUYR3XgwKqK4w34;Алтайвитамины ЗАО;Эритростимулин
ChIJfc2KK7qtSkERmQNGKtfCpNU;Фармцентр ВИЛАР ЗАО;Аммифурин
;Усолье-Сибирский химфармзавод ОАО;Андипал
ChIJBZpUEotJtUYRoaADFv92i_s;Самсон-Мед ООО;Адиурекрин
ChIJm0SyLPhHtUYRQqEUH_oP958;Ас-фарм ОАО;Бензонал
;Тульская фармацевтическая фабрика ООО;Бадяга (порошок)
;Ивановская фармацевтическая фабрика ОАО;Бриллиантового зеленого раствор спиртовой
;Фито-Бот фирма ООО;Бриллиантового зеленого раствор спиртовой
;Ирбитский ХФЗ ОАО;Бромкамфоры таблетки
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО;Чемеричная вода
;ЗАО Ярославская фармацевтическая фабрика;Чемеричная вода
;Биологические исследования и системы ЗАО (БИС ЗАО);Азафен
ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез ОАО;Гепарин
;Ивановская фармацевтическая фабрика ОАО;Глицерин
ChIJp_3sie9KtUYR1zv2htsCOxI;Центральное научно-конструкторское бюро ФГУП [Москва];Дибазола таблетки 0.02 г
ChIJBZpUEotJtUYRoaADFv92i_s;Самсон-Мед ООО;Димедрола раствор для инъекций 1%
ChIJ2WgtSORutUYR5qlWbKWqgUM;Барнаульский завод медицинских препаратов ООО;Димедрола таблетки
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Диэтилстильбэстрол
ChIJY83Q7CrTSkER4MHnT6ofxlc;Татхимфармпрепараты ОАО;Изониазида таблетки
;Тульская фармацевтическая фабрика ООО;Ихтиоловая мазь
;Тульская фармацевтическая фабрика ООО;Йода раствор спиртовой 5%
;Фито-Бот фирма ООО;Йода раствор спиртовой 5%
ChIJd6COwHJNtUYRuWgi5sNziCk;Казанская фармацевтическая фабрика ЗАО;Йодинол
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Белластезин
;Кировская фармацевтическая фабрика ОАО;Ландышево-валериановые капли
ChIJrU-4nLhJtUYRaaBv2C2mvyU;-;Нашатырно-анисовые капли
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Аскорбиновой кислоты 0.1 г с глюкозой таблетки
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ООО;Ацетилсалициловой кислоты таблетки
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Екатеринбургская фармфабрика ОАО;Калия хлорид
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ЗАО;Кальция глюконата таблетки 0.5 г
ChIJs_fJ4iNNtUYRfv9VB1kuXI8;Фитофарм-НН НЗЛП ФГУП;Оксолиновая мазь
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Валерианы корневища с корнями
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Валерианы корневища с корнями
;Ижевская фармфабрика ГП;Валерианы настойка
;Тверская фармфабрика ОАО;Валерианы настойка 10 мл, полыни настойка 8 мл, красавки настойка 2 мл
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Аира корневища
;Усолье-Сибирский химфармзавод ОАО;Кофеина-бензоата натрия таблетки
ChIJieZTUhNKtUYRlHpcqUkqDTE;Микроген НПО ФГУП;Кукурузы столбики с рыльцами
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Лапчатки корневище
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Дуба кора
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Дуба кора
;Фито-Бот фирма ООО;Дуба кора
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Крушины кора
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Алтея корень
;Тульская фармацевтическая фабрика ООО;Зубные капли
;Тульская фармфабрика ГУП;Зубные капли
;ЗАО Ярославская фармацевтическая фабрика;Зубные капли
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Солодки корень
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Солодки корни
;Тюменский ХФЗ ОАО;Левомицетина таблетки
;Ирбитский ХФЗ ОАО;Сульфадимезина таблетки
;Усолье-Сибирский химфармзавод ОАО;Фталазола таблетки 0.5 г
;Ивановская фармацевтическая фабрика ОАО;Линимент бальзамический (по Вишневскому)
;Тульская фармацевтическая фабрика ООО;Синтомицина линимент
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Брусники листья
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Крапивы листья
;Фито-Бот фирма ООО;Крапивы листья
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Мать-и-мачехи листья
;Фито-Бот фирма ООО;Мать-и-мачехи листья
;Народная Медицина Медицинская компания ООО;Мяты перечной листья
;Фито-Бот фирма ООО;Мяты перечной листья
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Мяты перечной настойка
;Ивановская фармфабрика ОГУП;Мяты перечной настойка
;Кировская фармацевтическая фабрика ОАО;Мяты перечной настойка
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Подорожника большого листья
;Фито-Бот фирма ООО;Подорожника большого листья
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Подорожника большого листья
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Сенны листья
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Толокнянки листья
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Шалфея листья
;Фито-Бот фирма ООО;Шалфея листья
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Эвкалипта лист
;Тверская фармфабрика ОАО;Камфорная мазь 10%
;Тверская фармфабрика ОАО;Салициловая мазь
;Тульская фармфабрика ГУП;Салициловая мазь
;Тульская фармацевтическая фабрика ООО;Скипидарная мазь
;Тульская фармацевтическая фабрика ООО;Стрептоцидовая мазь 10%
;ЗАО Ярославская фармацевтическая фабрика;Стрептоцидовая мазь 10%
;Тульская фармацевтическая фабрика ООО;Фурацилиновая мазь 0.2%
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО;Анаприлин
ChIJN5t4CjesSkERQ1DK79U7f40;Вифитех ЗАО;Облепиховое масло
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;ОАО Тверская фармацевтическая фабрика;Вазелиновое масло
;Тульская фармацевтическая фабрика ООО;Камфорное масло для наружного применения
;Пермфармация ГП;Ментоловое масло
;Волгоградская фармфабрика ГП;Натрия тетраборат
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Владивостокская фармфабрика ОАО;Натрия тетрабората (Буры) раствор в глицерине 20%
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО;Натрия тетрабората (Буры) раствор в глицерине 20%
;Тульская фармфабрика ГУП;Натрия тетрабората (Буры) раствор в глицерине 20%
;Ирбитский ХФЗ ОАО;Нитазол
;Тульская фармацевтическая фабрика ООО;Пиона уклоняющегося настойка
;Ивановская фармфабрика ОГУП;Пиона уклоняющегося настойка
;Фито-Бот фирма ООО;Пиона уклоняющегося настойка
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;ОАО Тверская фармацевтическая фабрика;Подорожника настойка
;Тульская фармацевтическая фабрика ООО;Полыни настойка
;Фито-Бот фирма ООО;Пустырника настойка
;Флора Кавказа ОАО;Пустырника настойка
ChIJBZpUEotJtUYRoaADFv92i_s;Самсон-Мед ООО;Аденозинтрифoсфорная кислота
;Усолье-Сибирский химфармкомбинат ОАО;Оксафенамид
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;Окситетрациклина дигидрат
;"ОАО ""Усолье-Сибирский химфармзавод""";Парацетамола таблетки 
ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез ОАО;Панкреатин
ChIJFfC6-Ck5tUYR8_cDq_aEqeI;Фармзащита НПЦ ФГУП;Пентацина раствор 5% в ампулах
ChIJBZpUEotJtUYRoaADFv92i_s;Самсон-Мед ООО;Пепсин
;Флора Кавказа ОАО;Перекиси водорода раствор спиртовой 1.5%
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ЗАО;Салициловой кислоты раствор спиртовой
ChIJafQvE983tUYRPbvjlUgEH3o;Фармацевтическая фабрика Санкт-Петербурга ОАО;Ретинола ацетата раствор в масле
;Тульская фармацевтическая фабрика ООО;Рыбий жир очищенный для внутреннего применения
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Боярышника плоды
;Фито-Бот фирма ООО;Боярышника плоды
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Боярышника плоды
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Кориандра плоды
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Можжевельника плоды
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Фенхеля обыкновенного плоды
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Фенхеля  плоды
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Шиповника плоды
;Фито-Бот фирма ООО;Шиповника плоды
;Фито-Эм аграрно-промышленная фирма ООО;Шиповника плоды
ChIJX06hGxg1tUYRU-4AgiDAxTY;Биохимик ОАО;Полиглюкин сухой
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Ленмедснаб ООО;Ортосифона тычиночного (Почечного чая) листья
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Сосны почки
ChIJafQvE983tUYRPbvjlUgEH3o;"Закрытое акционерное общество ""Московская фармацевтическая фабрика""";Таблетки от кашля
ChIJBW-HVze1SkERmWo9580bjhU;Московский эндокринный завод ФГУП;Тебаин-основание
ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез ОАО;Тиреоидин
ChIJJWcQBftOtUYRImaibzX5718;Фармаген ЗАО;Токоферола ацетат
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Льна семена
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Ленмедснаб ООО;Льна семена
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Тыквы семена
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Сбор слабительный №1
;Усолье-Сибирский химфармкомбинат ОАО;Солютизон
;Биологические исследования и системы ЗАО (БИС ЗАО);Сульсен
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Бессмертника песчаного цветки
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Боярышника цветки
ChIJieZTUhNKtUYRlHpcqUkqDTE;Микроген НПО ФГУП;Ноготков цветки
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Ленмедснаб ООО;Пижмы цветки
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Ромашки цветки
;Фито-Бот фирма ООО;Ромашки цветки
;Новосибирская фармфабрика ОАО;Цинка окись
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Чага
;Ирбитский ХФЗ ОАО;Фурацилина таблетки для наружного употребления 0.02 г
;Ирбитский ХФЗ ОАО;Фуразолидон
ChIJdeiwjKJMtUYRsg6dxI_VYk4;;Этиловый эфир альфа-бромизовалериановой кислоты
ChIJBW-HVze1SkERmWo9580bjhU;Московский эндокринный завод ФГУП;Эфедрина гидрохлорида раствор для инъекций 5%
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд;Крушины экстракта таблетки покрытые оболочкой 0.2 г
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО;Фосфэстрол
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Полыни горькой трава
ChIJ89412GU1tUYR_1lUZ3lrKAo;Лек С - Фирма ООО;Полыни горькой трава
ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+ ООО;Пустырника трава
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Пустырника трава
;Фито-Бот фирма ООО;Пустырника трава
ChIJieZTUhNKtUYRlHpcqUkqDTE;Микроген НПО ФГУП;Сушеницы топяной трава
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Сушеницы топяной трава
ChIJieZTUhNKtUYR-gKL6naxjzU;Микроген НПО ФГУП [Московское подразделение по производству бактерийных препаратов];Фиалки трава
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Хвоща полевого трава
ChIJX-GjkfRKtUYRT2MJ1rtMOsg;Фито-Эм аграрно-промышленная компания ЗАО;Череды трава
;Фито-Бот фирма ООО;Череды трава
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Череды трава
;Фито-Бот фирма ООО;Чистотела трава
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Чистотела трава
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Чистотела трава
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Ленмедснаб ООО;Багульника болотного побеги
ChIJv4SpIY9OtUYRCYJd7iqMnTg;Фито-Эм аграрно-промышленная фирма ЗАО;Горца перечного (Перца водяного) трава
ChIJ9Sy8AeHKSkER2Koegq87fno;Старт-Фито ООО;Горца птичьего (Спорыша) трава
;Фито-Бот фирма ООО;Горца птичьего (Спорыша) трава
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Горца птичьего (Спорыша) трава
;Фито-Бот фирма ООО;Зверобоя трава
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Зверобоя трава
ChIJ082evx9LtUYRfteuOWQcgD8;Микроген НПО ФГУП [Белореченск];Золототысячника трава
