place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJwfdBT4lOtUYRlvmtgXtPoYc;Дарница фармацевтическая фирма ЗАО
;Галичфарм АО
;"АО ""Галичфарм"""
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ОАО
;Опытный завод АН Республики Башкортостан
;ГНИИ особо чистых биопрепаратов
ChIJ7fU_PlizSkERe58hTrE18iE;Рузам-М ООО
ChIJw6CGOPCxSkERZdlGuKq0HOk;Петровакс Лаб ООО
;Востоквит ОАО
;Усолье-Сибирский химфармкомбинат ОАО
;Пятигорская фармацевтическая фабрика ФГУП
ChIJOdOju2_MSkEREW58BUhDs2k;"Государственный завод медицинских препаратов ГУП, дочернее предприятие ГУП ""ГосНИИОХТ"""
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ОАО
ChIJdeiwjKJMtUYRsg6dxI_VYk4;
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО
ChIJoUk_NHW0SkERMgy3DMTrbDM;Органика ОАО
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;Северная звезда Лтд ЗАО
;Аромасинтез ОАО
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Уфимский витаминный завод ОАО
;Ивановская фармацевтическая фабрика ОАО
;Тульская фармфабрика ГУП
ChIJ-8ek18xJtUYR3JOmVnhoXCE;Екатеринбургская фармфабрика ОАО
ChIJ6xIHYka1SkERc-eFU7L6eQE;Биосинтез ОАО
ChIJRWq5JUFItUYRUX71YIpUVm4;Кристалл ГосНИИ ФГУП
ChIJNaQzZUtStUYRKqSMbnCkSZg;Мир-Фарм ЗАО
ChIJmSbw8aY_tUYRMwI1ASuUhxY;Катрен НПК ЗАО
;Ирбитский ХФЗ ОАО
ChIJYTwhVBNMtUYRXUge9SXJ8vo;Обновление ПФК ЗАО
;Тульская фармацевтическая фабрика ООО
ChIJjwl8pXZKtUYRPCUcXjNKtXk;Петрохим ЗАО
ChIJd6COwHJNtUYRuWgi5sNziCk;Казанская фармацевтическая фабрика ЗАО
ChIJaf1kOxBNtUYRQuW1cp98ydw;Новосибхимфарм ОАО
ChIJAYNGsG5MtUYRppeZmBjxeA4;Полисинтез ООО
ChIJ-9R0KTpKtUYR0r_MbfEmUNg;НИОПиК ГНЦ ФГУП
;Усолье-Сибирский химфармзавод ОАО
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Аспен Фарма Пти Лтд
ChIJafQvE983tUYRPbvjlUgEH3o;Фармацевтическая фабрика ОАО [Копейск]
;Пермфармация ГОУП
ChIJafQvE983tUYRPbvjlUgEH3o;Московская фармацевтическая фабрика ЗАО
;Фармпроизводство - филиал ОГУП Фармация [Курск]
ChIJs_fJ4iNNtUYRfv9VB1kuXI8;Фитофарм-НН НЗЛП ФГУП
;Ивановская фармфабрика ОГУП
