place_id;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJ-4GgOlNKtUYRJAfJskWS2Sc;1.0;1.0;;1;Стерлинг С.п.А.
ChIJ-4cQ_OZKtUYRExFrr8SNW8U;1.0;1.0;;2;Фармпрепарат ООО
ChIJ-71jTXJKtUYRg0kDkPoNglI;1.0;0.8205128205128205;1826.095238095238;117;"ОАО ""Красногорсклексредства"""
ChIJ-8ek18xJtUYR3JOmVnhoXCE;0.9733333333333334;0.8401754385964912;1826.2666666666667;103;Уралбиофарм ОАО
ChIJ-9R0KTpKtUYR0r_MbfEmUNg;0.6923076923076923;0.3076923076923077;1866.6666666666667;13;НИОПиК ГНЦ ФГУП
ChIJ-V3heS5ItUYRMtZ3IYkbNBg;1.0;0.3333333333333333;1827.0;4;"Открытое акционерное общество ""Национальные биотехнологии"""
ChIJ-VjiQOxMtUYRWnZshldLBbE;1.0;0.8260869565217391;1826.0;23;Биотест Фарма ГмбХ
ChIJ-Z0KlhBKtUYRarrGx1rq6v4;1.0;1.0;;17;Хармс ООО
ChIJ-ZQGNPVItUYRu5Y8oRzS49A;0.875;0.46153846153846156;1826.0;17;"ООО ""Диамед"""
ChIJ-_eqJ79KtUYRiRk7RGZIhuw;1.0;0.6666666666666666;1826.0;3;"Общество с ограниченной ответственностью""АРНО"" (ООО ""АРНО"")"
ChIJ-dskp91LtUYR3RHG_D4cHSE;0.8880226553389972;0.7484257871064468;1802.5555555555557;103;Новартис Консьюмер Хелс СА
ChIJ-xwVCQxMtUYR3b3rG1yjJbw;1.0;0.7692307692307693;1826.6666666666667;13;Адифарм ЕАД
ChIJ-y1lmGyzSkERpuSgrd0G15M;1.0;1.0;;2;Институт иммунологии Инк
ChIJ-yDxtkVKtUYR6StRAzK969o;0.75;0.75;1340.0;4;Технолог СКТБ ФГУП Минобразования России
ChIJ-yPEoN1LtUYR3SAcZlpiytU;1.0;1.0;;8;ДжиИ Хэлскеа Лимитед
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;0.9507734893902938;0.7330517011558567;1895.8260010822512;834;Яньтай Луинь Фармасьютикал Ко.Лтд
ChIJ055xDOdKtUYR-eYTXo8MdQQ;0.8072916666666666;0.5809727218225419;1679.5333333333333;233;"Федеральное государственное унитарное предприятие ""Московское производственное химико-фармацевтическое объединение имени Н.А.Семашко"" (ФГУП ""Мосхимфармпрепараты"" им.Н.А.Семашко)"
ChIJ05QspB5LtUYRdkJWcjvmNeU;0.0;0.0;1826.0;2;Амершам ПЛК
ChIJ082evx9LtUYRfteuOWQcgD8;0.9411764705882353;0.9159663865546219;2072.013888888889;151;Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации (ФГУП «НПО «Микроген» Минздравсоцразвития России)
ChIJ0RgjeQ5LtUYRa85IpR6Gpps;1.0;0.85;1826.5;10;Пульмомед ЗАО
ChIJ0WEG0TdKtUYRrl5SpImyvi4;1.0;1.0;;2;"Акционерное общество ""Национальная иммунобиологическая компания"""
ChIJ0x4ZcABNtUYRHj12MvSugMI;0.6666666666666666;0.5714285714285715;1826.0;9;Лаборатория Шовен С.А.
ChIJ0x4ZcABNtUYRNYiN1xo_36U;1.0;1.0;;1;"ЗАО ""Орматек"""
ChIJ11dA3qNNtUYR7esOAuRRHG8;1.0;1.0;;1;Лаборатории де ла Мер
ChIJ169c7yLLSkERcCg4cm09pe0;0.0;0.0;1826.0;3;Флора-Фарм ООО
ChIJ17ogUk02tUYRraUjT8ysTXs;1.0;0.8666666666666667;1827.0;15;"Закрытое акционерное общество ""Северная звезда"""
ChIJ19AqLYVLtUYRMk9cSQJx_4o;1.0;0.6666666666666666;1826.0;3;"OOO ""Лаборатория Тоскани"""
ChIJ1XHxuepMtUYRiGkJsZlI7fg;1.0;1.0;;1;ЗаК Систем
ChIJ1Xij55IxtUYROT8klIGiRTg;1.0;0.8205128205128205;1826.0;46;"ООО ""Биоком-Технология"""
ChIJ1Y-iUoVMtUYRoda8S9f79PU;1.0;0.625;1827.0;5;"ПАО ""Институт стволовых клеток человека"""
ChIJ1ZcjxhRJtUYR6BNLTFnqWtk;1.0;0.0;1827.0;2;"ООО ""РегАрд"""
ChIJ1ab4GGZKtUYRMJHfFVPD_5A;0.0;0.0;1826.5;2;Рестер ЗАО
ChIJ1ev-xNpMtUYRfeRXGKz2phs;0.993421052631579;0.9013157894736843;1816.2666666666667;79;Торрент Фармасьютикалс Лтд.
ChIJ1xKKCBZLtUYRGwyX_KhLurQ;1.0;0.5;1826.3;12;"Общество с ограниченной ответственностью ""ЕСКО Фарма"""
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;0.967391304347826;0.7880434782608696;1826.06;127;Северная звезда Лтд ЗАО
ChIJ21Kfq2lKtUYRG0AGD4nZJBI;1.0;1.0;;1;Медико ГмбХ
ChIJ21M6PM5KtUYRlFa8IKckelE;1.0;1.0;;4;"ЗАО ""Медминипром"""
ChIJ21Phg59NtUYREiKY3ONUP1g;1.0;0.0;1826.0;1;Новосибирский испытательный центр ЗАО
ChIJ22wB17RItUYRgDp9AddBccs;1.0;1.0;;3;3М Еспе АГ
ChIJ24N2wh02tUYRVvMlyaYLblI;1.0;0.7142857142857143;1826.0;8;Еврофарм (ЮК) Ко.Лтд
ChIJ26B5Wb5KtUYRGp76xU7Fhl8;0.9906129653401797;0.8739650192554558;1803.0388888888888;120;Эйсбрайт (Индия) Фарма Пвт. Лтд.
ChIJ2QSFQgNLtUYRRQ39SoWIDVU;0.0;0.0;1826.0;1;Красноярский завод цветных металлов имени В.Н.Гулидова ОАО
