Причина забраковки;Тип_%;Зарещен_%;Лаборатория_%;Экспертно;cluster;cluster_label
буферная стадия;0.4;1.0;0.8;4.0;2;1
годен до;1.0;1.0;0.0;7.0;0;2
отсутствие контроля;0.0;1.0;0.0;7.0;2;1
выявление инородного;1.0;1.0;1.0;10.0;1;5
плотность;1.0;1.0;1.0;7.0;1;5
в упаковку;1.0;1.0;1.0;7.0;1;5
необходимость гармонизации;1.0;1.0;0.0;7.0;0;2
цветность раствора;1.0;1.0;0.0;8.0;0;2
обнаружение в;0.0;1.0;1.0;7.0;2;1
выявлены несоответствия;0.4230769230769231;1.0;0.11538461538461539;7.0;0;2
содержание активных;0.6666666666666666;0.0;0.0;7.0;0;2
реализация ;1.0;1.0;0.6666666666666666;4.0;1;5
маркировка на;0.5;1.0;1.0;4.0;1;5
пригоревшие;0.0;1.0;1.0;8.0;2;1
прозрачность;0.8;1.0;0.8;7.0;1;5
техническая ошибка;1.0;1.0;1.0;8.0;1;5
в таблетке;1.0;1.0;1.0;7.0;1;5
маркировка;0.627906976744186;0.9593023255813954;0.6395348837209303;4.0;1;5
возможный дефект;1.0;1.0;0.8;;1;5
техническая опечатка;1.0;0.25;1.0;8.0;1;5
дисперсность;0.6666666666666666;1.0;1.0;8.0;1;5
при извлечении;0.4;1.0;0.6;7.0;2;1
поврежденных вредителями;0.3333333333333333;1.0;1.0;7.0;2;1
метотрексат;1.0;1.0;1.0;7.0;1;5
числовые показатели;0.3333333333333333;1.0;1.0;7.0;2;1
внешние признаки;0.3333333333333333;1.0;1.0;5.0;2;1
армавирская биофабрика;0.0;0.0;0.0;4.0;2;1
прекращение действия;1.0;0.7243589743589743;0.8461538461538461;8.0;1;5
тимол;1.0;1.0;1.0;10.0;1;5
бензиловый спирт;0.6666666666666666;1.0;0.6666666666666666;7.0;1;5
масса содержимого;0.4444444444444444;1.0;0.4444444444444444;5.0;2;1
пропофол;1.0;1.0;1.0;7.0;1;5
хлориды;1.0;1.0;1.0;10.0;1;5
отклонение в;0.9444444444444444;1.0;0.05555555555555555;8.0;0;2
однородность по;1.0;1.0;1.0;7.0;1;5
показатель преломления;1.0;1.0;1.0;7.0;1;5
однородность дозирования;0.78125;0.8125;0.609375;7.0;1;5
несоответствие в;0.0;1.0;1.0;7.0;2;1
выявление грамматических;0.0;1.0;1.0;8.0;2;1
микробиологическая чистота;0.8333333333333334;0.9583333333333334;0.9166666666666666;8.0;1;5
на флаконах;1.0;1.0;0.0;4.0;0;2
указанный на;1.0;1.0;1.0;4.0;1;5
отмена действия;0.9491525423728814;1.0;0.8813559322033898;8.0;1;5
с вкраплениями;0.0;1.0;0.3333333333333333;7.0;2;1
размер частиц;1.0;1.0;1.0;7.0;1;5
упаковка имеет;1.0;1.0;1.0;5.0;1;5
предназначенных для;1.0;0.0;1.0;8.0;1;5
выявление флакона;1.0;1.0;0.0;4.0;0;2
выявление упаковок;1.0;0.0;1.0;10.0;1;5
хищение;1.0;1.0;0.0;8.0;0;2
активность гепарина;1.0;1.0;1.0;4.0;1;5
триэтиламин;0.0;1.0;0.0;8.0;2;1
препарат изготовлен;0.16363636363636364;0.16363636363636364;0.9454545454545454;7.0;2;1
пригоревших;0.3333333333333333;1.0;1.0;1.0;2;1
герметичность;0.0;1.0;0.0;8.0;2;1
лекарственный препарат;0.19607843137254902;0.19607843137254902;0.9411764705882353;8.0;2;1
таблетки рассыпаются;0.0;1.0;1.0;;2;1
опубликованные в;0.0;0.0;1.0;7.0;2;1
растворение;0.813953488372093;1.0;0.3953488372093023;4.0;0;2
на вторичной;0.8571428571428571;0.5714285714285714;1.0;8.0;1;5
выявление разночтений;0.9655172413793104;0.9655172413793104;0.9655172413793104;5.0;1;5
выявление ячейковых;1.0;1.0;1.0;6.0;1;5
указанная серия;0.8;1.0;0.4;4.0;0;2
стерильность;0.8;1.0;0.6;4.0;1;5
цианокобаламин;1.0;1.0;0.5;8.0;1;5
потеря в;0.0;1.0;0.42857142857142855;7.0;2;1
показатель в;0.9105691056910569;0.967479674796748;0.16260162601626016;7.0;0;2
липкие на;0.0;1.0;0.0;8.0;2;1
в содержимом;1.0;1.0;0.0;7.0;0;2
описание;0.6566265060240963;0.9397590361445783;0.6385542168674698;7.0;1;5
видимые частицы;0.5833333333333334;1.0;0.75;7.0;1;5
поврежденные вредителями;0.0;1.0;1.0;7.0;2;1
аллантоин;0.8571428571428571;1.0;0.7142857142857143;4.0;1;5
специфическая безопасность;0.5;0.7142857142857143;0.7142857142857143;4.0;2;1
безвредность;0.0;1.0;0.5;8.0;2;1
отмена государственной;1.0;1.0;0.6326530612244898;7.0;1;5
объем содержимого;0.5;0.875;0.25;5.0;0;2
кислотное число;0.0;1.0;0.0;7.0;2;1
фенобарбитал;1.0;1.0;0.0;4.0;0;2
белок;1.0;0.0;1.0;4.0;1;5
депрессорные вещества;0.75;0.25;0.75;8.0;1;5
пиридин;0.0;1.0;1.0;10.0;2;1
на дне;0.5;1.0;0.75;5.0;2;1
побочные реакции;1.0;1.0;1.0;5.0;1;5
маркировка и;0.8333333333333334;1.0;0.6666666666666666;4.0;1;5
указание на;1.0;1.0;0.0;4.0;0;2
оформление сертификатат;1.0;1.0;1.0;7.0;1;5
образующей крупный;0.0;1.0;0.0;10.0;2;1
извлекаемый объем;0.8;1.0;0.8;7.0;1;5
количественное содержание;1.0;1.0;1.0;7.0;1;5
помутнение раствора;1.0;1.0;1.0;7.0;1;5
с трещинами;1.0;1.0;1.0;5.0;1;5
5 г;0.5;1.0;0.5;;2;1
испытание на;1.0;0.0;1.0;4.0;1;5
дата изготовления;0.0;1.0;0.0;8.0;2;1
выпущенных в;1.0;1.0;0.0;8.0;0;2
описание в;1.0;1.0;0.0;7.0;0;2
данные о;1.0;1.0;1.0;5.0;1;5
глицерол;1.0;1.0;0.0;10.0;0;2
возможное увеличение;0.0;1.0;1.0;8.0;2;1
вторичной упаковках;1.0;1.0;0.0;1.0;0;2
