Производитель;Тренд;Нарушения экспертно;Тяжесть нарушения экспертно;Изъятие из обращения;Приостановлена реализация;Разрешен;Скорость реагирования;Тяжесть нарушения;Наименование товара;place_total_fail;lat;long;place_id;google_name;google_rating;site;reviews;world_rank;country_rank;link_numbers;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение;place_fail_rel_size;Иностранцы;Россия;контрафактное ЛС;недоброкачественное ЛС;незарегистрированное ЛС;оригинальное ЛС;сомнительное ЛС;фальсифицированное ЛС;Партия;Брак поставщика (подтвержден);Брак производителя (изъятие без уничтожения);Брак производителя (партия);Брак производителя (территория);Брак производителя Россия;Изменение;Изъятие;Изъятие незарегистрированного ЛС;Изъятие по неподтвержденной декларации;Контрафакт;Незаконный ввоз;О переводе на предварительный контроль;Отзыв;Отзыв деклараций о соответствии;Отзыв производителем;Отзыв производителем (Ф/С);Отзыв производителем партии;Ошибка репортера;Прекращение обращения;Приостановление;Приостановление реализации;Разрешение (партия);Разрешение (серия);Разрешение реализации;Фальсификация;Фальсификация (изъятие по признакам);Фальсификация полное изъятие;Фальсификация приостановление;place_total_letters;Итоговый рейтинг
Уралбиофарм ОАО;1.0;;0.0;0.78125;0.21875;0.0;;1.0;5;32.0;55.811562;37.523126;ChIJ-8ek18xJtUYR3JOmVnhoXCE;Уралбиофарм;;http://ubf.ru/;[];6698185.0;709699.0;34.0;0.9733333333333334;0.8401754385964912;1826.2666666666669;103.0;Уралбиофарм ОАО;0.04854368932038835;0.0;1.0;0.0;0.9579831932773109;0.04201680672268908;0.0;0.0;0.0;0.012605042016806723;0.0;0.004201680672268907;0.0;0.06722689075630252;0.037815126050420166;0.0;0.008403361344537815;0.0;0.0;0.0;0.0;0.0;0.1134453781512605;0.004201680672268907;0.3781512605042017;0.09663865546218488;0.004201680672268907;0.0;0.03361344537815126;0.12605042016806722;0.1176470588235294;0.0;0.0;0.008403361344537815;0.0;0.0;0.0;0.0;238.0;0.5161812297734628
Биотест Фарма ГмбХ;0.0;;0.0;0.0;1.0;1.0;59.0;0.4;3;9.0;55.6825777;37.5507008;ChIJ-VjiQOxMtUYRWnZshldLBbE;Биотест Фарма ГмбХ;;;[];;;;1.0;0.8260869565217391;1826.0;23.0;Биотест Фарма ГмбХ;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;18.0;0.34347826086956523
Новартис Консьюмер Хелс С.А.;0.0;;0.0;1.0;0.0;0.0;;0.4;1;1.0;55.74668520000001;37.5373814;ChIJ-dskp91LtUYR3RHG_D4cHSE;Новартис Консьюмер;0.8;https://www.novartis.ru/;[['', 1, 1321486984]];2616120.0;210676.0;167.0;0.8880226553389972;0.7484257871064468;1802.555555555556;103.0;Новартис Консьюмер Хелс СА;0.009708737864077669;1.0;0.0;0.0;0.8709677419354839;0.0;0.0;0.12903225806451613;0.0;0.0;0.0;0.03225806451612903;0.0;0.0967741935483871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03225806451612903;0.0;0.6129032258064516;0.0;0.06451612903225806;0.0;0.0;0.0;0.03225806451612903;0.0;0.0;0.0;0.0;0.0967741935483871;0.0;0.03225806451612903;31.0;0.4032362459546926
А.Наттерманн энд Сие. ГмбХ;0.0;;0.0;0.3333333333333333;0.6666666666666666;0.6666666666666666;159.0;0.8;1;3.0;55.773166;37.52703;ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;РЛС;0.15999999999999998;http://www.rlsnet.ru/;[['Проблема с парковкой.', 4, 1485465879], ['Супер!!!', 5, 1492372310], ['Поблизи с кантемироаской', 5, 1454693118], ['I & you', 5, 1457173209], ['', 5, 1502776635]];12672.0;834.0;1330.0;0.9507734893902938;0.7330517011558567;1895.8260010822512;834.0;Яньтай Луинь Фармасьютикал Ко.Лтд;0.001199040767386091;0.7618586640851888;0.23814133591481124;0.0;0.90513068731849;0.0;0.01936108422071636;0.06873184898354308;0.006776379477250726;0.040658276863504365;0.0;0.020329138431752183;0.0;0.16747337850919652;0.19264278799612775;0.0038722168441432717;0.05033881897386254;0.0;0.0009680542110358179;0.0019361084220716359;0.0009680542110358179;0.0;0.06873184898354308;0.058083252662149074;0.08228460793804453;0.0;0.030009680542110364;0.0;0.016456921587608902;0.11713455953533397;0.08809293320425944;0.005808325266214908;0.031945788964181994;0.010648596321393998;0.0019361084220716359;0.023233301064859636;0.0019361084220716359;0.02516940948693127;1033.0;0.32039968025579535
Мосхимфармпрепараты им.Семашко ОАО;-1.0;;0.0;0.8571428571428571;0.14285714285714285;0.0;;0.8285714285714286;4;14.0;55.7378861;37.6552353;ChIJ055xDOdKtUYR-eYTXo8MdQQ;Мосхимфармпрепараты ОАО им. Н.А. Семашко;0.25999999999999995;http://www.mhfp.ru/;"[['Отвратительный завод!!!!таблетки делают способом ""не позволяешь,не поешь""сплошная антисанитария!!!сотрудникам деньги перестали выплачивать 3 месяца назад...рыба тухнет с головы!!!', 1, 1513004917], ['Желаю вашему заводу процветания, благополучия, чтобы не останавливались на одном месте и продолжали развиваться!', 5, 1515441036], ['', 5, 1306196066]]";4683085.0;284714.0;46.0;0.8072916666666666;0.5809727218225419;1679.533333333333;233.0;"Федеральное государственное унитарное предприятие ""Московское производственное химико-фармацевтическое объединение имени Н.А.Семашко"" (ФГУП ""Мосхимфармпрепараты"" им.Н.А.Семашко)";0.017167381974248927;0.0;1.0;0.0;0.8581765557163531;0.0;0.0028943560057887122;0.11577424023154848;0.02315484804630969;0.0014471780028943561;0.0;0.0028943560057887122;0.0;0.03473227206946455;0.03907380607814761;0.0014471780028943561;0.03039073806078148;0.0;0.0;0.0;0.0;0.0;0.03183791606367583;0.0;0.6063675832127352;0.0;0.0;0.0;0.010130246020260492;0.1345875542691751;0.04775687409551375;0.0;0.04775687409551375;0.004341534008683068;0.0;0.008683068017366137;0.0;0.0;691.0;0.3685796035152258
Микроген НПО ФГУП (Аллерген, г.Ставрополь);0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.73088389999999;37.64435170000001;ChIJ082evx9LtUYRfteuOWQcgD8;"ФГУП ""НПО ""микроген"" МЗ РФ";;http://www.microgen.ru;[];962655.0;100778.0;155.0;0.9411764705882352;0.915966386554622;2072.0138888888887;151.0;Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации (ФГУП «НПО «Микроген» Минздравсоцразвития России);0.006622516556291391;0.0;1.0;0.0;0.6587677725118484;0.0;0.09004739336492891;0.25118483412322273;0.0;0.0;0.0;0.0047393364928909965;0.0;0.0947867298578199;0.16113744075829384;0.02369668246445497;0.009478672985781993;0.0;0.0;0.018957345971563986;0.0;0.0;0.12796208530805686;0.018957345971563986;0.17535545023696686;0.0;0.0;0.0047393364928909965;0.009478672985781993;0.08056872037914692;0.02369668246445497;0.0;0.018957345971563986;0.0047393364928909965;0.0995260663507109;0.07582938388625593;0.0;0.04739336492890995;211.0;0.5022075055187638
ЕСКО Фарма ООО/пр.ЭкоФармПлюс ЗАО;0.0;Проблема в описании. Цветность.;15.0;1.0;0.0;0.0;;1.0;1;1.0;55.7193634;37.6265883;ChIJ1xKKCBZLtUYRGwyX_KhLurQ;ESKO PHARMA;;http://eskopharma.ru/index.php/ru/;[];;;;1.0;0.5;1826.3;12.0;"Общество с ограниченной ответственностью ""ЕСКО Фарма""";0.08333333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5277777777777778
Северная звезда ЗАО;1.0;;0.0;0.6153846153846154;0.38461538461538464;0.0;;0.8615384615384615;9;13.0;55.604113;37.503353;ChIJ1zmbgUmtSkER_hO3YJ3iw_I;"ООО ""Северная Звезда""";0.14000000000000004;http://north-star.su/;"[['Отличный автосервис. Грамотные мастера,приемлемые цены,качественно выполненные работы. Молодцы!!!', 5, 1521136132], ['Дважды протачивал диски в этом сервисе (одну ось, потом вторую). Остался доволен. Каждый раз присутствовал в рем.зоне, так что успел заметить нормальное отношение к клиентским тачкам. Оборудованы хорошо, мастера работают, по моим наблюдением, без спешки и ""на результат"". \nПожалуй, могу рекомендовать, и уж точно - в части проточки тормозных дисков.', 5, 1507056563], ['Отличный сервис. Особенно хотел бы отметить мастера Сергея. Настоящий специалист в японских авто, действительно любит свою работу и делает все, как себе.', 5, 1511709111], ['Отличный сервис, недорого и почти всё есть. Хороший электрик и жестянщик. Постоянным клиентам скидка', 5, 1512884619], ['Отличный сервис!\nОперативно, качественно, широкий спектр услуг.', 5, 1511448178]]";14838476.0;;39.0;0.9673913043478259;0.7880434782608696;1826.06;127.0;Северная звезда Лтд ЗАО;0.07086614173228346;0.0;1.0;0.0;0.7407407407407407;0.0;0.037037037037037035;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.07407407407407407;0.14814814814814814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1851851851851852;0.0;0.1111111111111111;0.0;0.0;0.0;0.14814814814814814;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.35746820109024835
Еврофарм (ЮК) Ко.Лтд/пр.Генесайенс Фармасьютикалс Ко.Лтд;0.0;;0.0;1.0;0.0;0.0;;1.0;2;75.0;55.8081971;37.5829432;ChIJ24N2wh02tUYRVvMlyaYLblI;Еврофарм;0.25999999999999995;http://evropharm.ru/;"[['Провизор не консультирует по форме выпуска препаратов. Нет ""Книги жалоб и предложений"". Элементарно не знает где находятся ближайшие медучереждения.', 1, 1505403249], ['', 5, 1504804937], ['', 5, 1486486242]]";499394.0;34294.0;211.0;1.0;0.7142857142857143;1826.0;8.0;Еврофарм (ЮК) Ко.Лтд;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5033333333333333
Медокеми Лтд;0.0;;0.0;0.0;1.0;0.0;;0.4;1;1.0;55.748897;37.68291509999999;ChIJ26B5Wb5KtUYRGp76xU7Fhl8;Сентисс Фарма Пвт.Лтд.;;http://sentiss.ru/;[];6203664.0;701213.0;19.0;0.9906129653401796;0.8739650192554558;1803.0388888888888;120.0;Эйсбрайт (Индия) Фарма Пвт. Лтд.;0.008333333333333333;1.0;0.0;0.0;0.9629629629629628;0.0;0.037037037037037035;0.0;0.0;0.0;0.0;0.0;0.0;0.3703703703703704;0.2962962962962963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037037037037037035;0.037037037037037035;0.0;0.0;0.0;0.037037037037037035;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.30277777777777776
