trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
1.0;;38.0;238.0;34.0;1.0;;ChIJ-8ek18xJtUYR3JOmVnhoXCE;Уралбиофарм ОАО;0.06796116504854369;http://ubf.ru/;0.5226537216828478
0.0;59.0;9.0;18.0;;0.6666666666666666;;ChIJ-VjiQOxMtUYRWnZshldLBbE;Биотест Фарма ГмбХ;0.13043478260869565;;0.432367149758454
0.0;;1.0;31.0;167.0;0.6666666666666666;0.9999999999999998;ChIJ-dskp91LtUYR3RHG_D4cHSE;Новартис Консьюмер Хелс СА;0.009708737864077669;https://www.novartis.ru/;0.4921251348435815
0.0;159.0;3.0;1033.0;1330.0;0.8888888888888888;4.2;ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Яньтай Луинь Фармасьютикал Ко.Лтд;0.001199040767386091;http://www.rlsnet.ru/;0.35002930988542497
-1.0;;14.0;691.0;46.0;0.9047619047619048;3.7;ChIJ055xDOdKtUYR-eYTXo8MdQQ;"Федеральное государственное унитарное предприятие ""Московское производственное химико-фармацевтическое объединение имени Н.А.Семашко"" (ФГУП ""Мосхимфармпрепараты"" им.Н.А.Семашко)";0.017167381974248927;http://www.mhfp.ru/;0.3939764289120512
0.0;;1.0;211.0;155.0;1.0;;ChIJ082evx9LtUYRfteuOWQcgD8;Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения и социального развития Российской Федерации (ФГУП «НПО «Микроген» Минздравсоцразвития России);0.006622516556291391;http://www.microgen.ru;0.5022075055187638
0.0;;1.0;;;1.0;;ChIJ1xKKCBZLtUYRGwyX_KhLurQ;"Общество с ограниченной ответственностью ""ЕСКО Фарма""";0.08333333333333333;http://eskopharma.ru/index.php/ru/;0.5277777777777778
1.0;;13.0;27.0;39.0;0.9230769230769232;4.3;ChIJ1zmbgUmtSkER_hO3YJ3iw_I;Северная звезда Лтд ЗАО;0.07086614173228346;http://north-star.su/;0.37798102160306896
0.0;;75.0;;211.0;1.0;3.7;ChIJ24N2wh02tUYRVvMlyaYLblI;Еврофарм (ЮК) Ко.Лтд;0.25;http://evropharm.ru/;0.5033333333333333
0.0;;2.0;27.0;19.0;0.8333333333333334;;ChIJ26B5Wb5KtUYRGp76xU7Fhl8;Эйсбрайт (Индия) Фарма Пвт. Лтд.;0.016666666666666666;http://sentiss.ru/;0.45
0.0;;1.0;21.0;;1.0;;ChIJ30Hy2PtOtUYRwCnaSntJXBw;К.О.Ромфарм Компани С.р.Л.;0.01492537313432836;http://www.romfarma.ru/;0.5049751243781094
0.0;;2.0;55.0;;1.0;3.0;ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА, д.д., Ново место, Словения;0.0018450184501845016;http://fypryst.ru/;0.4672816728167282
0.0;;2.0;47.0;5444.0;1.0;;ChIJ3aIdmd1LtUYRF1J66aN6108;Нордик Фарма с.р.о.;0.0136986301369863;http://ru.gsk.com/;0.5045662100456622
0.0;;2.0;62.0;171.0;1.0;;ChIJ4w5Mw8bU3UMRTRqwLhVueGA;АстраЗенека ЮК Лтд;0.014285714285714284;http://www.astrazeneca.ru/;0.5047619047619047
0.0;;2.0;8.0;2270.0;1.0;;ChIJ4xjzpN1LtUYR0ZlLBxiSWAc;Эли Лилли энд Компани Лимитед;0.028169014084507043;http://www.lilly.com/;0.5093896713615024
0.0;;1.0;118.0;26.0;1.0;;ChIJ4xjzpN1LtUYR7rOz674wlMY;"Общество с ограниченной ответственностью ""Берлин-Хеми/А. Менарини""";0.012345679012345678;http://mezimforte.ru/;0.5041152263374485
0.0;;4.0;3.0;26.0;0.6944444444444444;3.0;ChIJ4zYSmhOoSkERS3QWboOmrZg;ЗиО-Здоровье ЗАО;0.030303030303030307;http://www.zio-zdorovie.ru/;0.3749158249158249
0.0;385.0;4.0;33.0;67.0;0.6666666666666666;;ChIJ5XVxn8JKtUYRczn69jOkjv4;Ипсен Фарма;0.03571428571428571;https://www.ipsen.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D1%8B/;0.4007936507936508
-1.0;;22.0;128.0;39.0;0.9735449735449736;;ChIJ5yzpDWHKSkERIxXsUvrW6Fw;Славянская аптека ООО;0.6;http://mitsar-n.ru/;0.6911816578483245
-1.0;;8.0;112.0;;0.9166666666666666;;ChIJ65qH_ec5tUYRyqbFA00vVqM;Самарамедпром ОАО;1.0;http://www.kdkfiora.com/;0.8055555555555555
0.0;;5.0;139.0;81.0;1.0;;ChIJ6VPxt6NLtUYR3XgwKqK4w34;Реанал ЗАО;0.024193548387096774;http://www.altayvitamin.ru/;0.5080645161290323
-1.0;168.0;10.0;658.0;78.0;0.9444444444444444;;ChIJ6xIHYka1SkERc-eFU7L6eQE;"ПАО ""Биосинтез""";0.014117647058823532;http://www.biosintez.com/;0.4861873638344227
0.0;;9.0;94.0;47.0;1.0;;ChIJ7fU_PlizSkERe58hTrE18iE;"СОАО ""Ферейн""";0.016877637130801686;http://ferain.ru/;0.5056258790436006
1.0;;3.0;9.0;;0.6296296296296297;5.0;ChIJ9aEgpdA3tUYRNaM14QsR7MY;Лекарь ООО;1.0;;0.54320987654321
0.0;;1.0;2.0;39.0;1.0;;ChIJAQAAAGdKtUYRLENRd5MZgUA;Др. Фальк Фарма ГмбХ;0.029411764705882356;http://www.drfalkpharma.ru/;0.5098039215686274
0.0;;1.0;213.0;247.0;0.8888888888888888;;ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-Авентис груп;0.003703703703703704;http://www.sanofi.ru/;0.4641975308641975
0.0;;1.0;11.0;;1.0;;ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+""";0.00684931506849315;http://www.leksplus.ru/;0.5022831050228309
